S.No,Product,Name,email,Phone,Message,Status,Created
1,,Contactpage,contact@gmail.com,1236457890,"Test
Hello page",Read,"2024-10-24 14:18:31"
2,"Ergonomic Chair","Prd page",prdpage@gmail.com,1234567890,Test,Read,"2024-10-24 14:16:26"
3,"Nordic Chair",Manish,test@test.com,3213131313,test,Unread,"2024-10-23 17:17:26"
4,"Kruzo Aero Chair",test,test@test.com,3213213213,"test
again",Unread,"2024-10-23 11:49:40"
5,"Nordic Chair","Manish Jangid",productpage@enquiry.com,2587411236,"this is Nordic Chair Enquiry
message",Unread,"2024-10-23 11:36:35"
6,,"Manish Kumar Jangid",contactus@test.com,1236547890,"this is contact us
page enquiry",Unread,"2024-10-23 11:35:44"
7,"Nordic Chair","Manish Jangid",manishtest@test.com,1234567890,"test
Nordic Chair Enquiry",Read,"2024-10-23 11:15:46"
8,,test,testing@test.com,4232342342,"test
message",Unread,"2024-10-14 11:01:21"
9,,"Manish Jangid",test@test.com,2323423423,"test
message",Read,"2024-10-14 05:28:15"
10,,"Full Name",test@test.coms,3423423423,test,Unread,"2024-10-10 10:23:14"
11,,3910,info@yourdomain.com,1312312312,Message,Unread,"2024-10-10 10:21:02"
12,,"Manish Kumar Jangid",manishtest@test.com,3216549879,"test
message
again",Unread,"2024-10-10 10:14:49"
13,,"Manish Jangid",test@test.com,3216549874,Message,Read,"2024-10-10 10:11:40"
14,,"First Name Last Name",manish@test.com,,"test message",Read,"2024-10-10 10:02:09"
15,,"First Name Last Name",test@test.com,,Message,Unread,"2024-10-10 09:57:02"
16,,"First name Last name",test@test.com,,Message,Unread,"2024-10-10 09:55:51"
17,,"Manish Jangid",manish@test.com,1234567890,"test mesage",Read,"2024-10-09 17:25:29"
,
